360手机助手,com.qihoo.appstore
360手机卫士,com.qihoo360.mobilesafe_mobilepad
360浏览器,com.qihoo.browser
58到家,com.wuba.jiazheng
58到家速运,com.wuba.huoyun
58同城,com.wuba
58帮帮,air.bangbang.for.android
e代驾,com.me139.activity
GIF快手,com.smile.gifmaker
In,com.jiuyan.infashion
Instagram,com.instagram.android
MYOTee脸萌,com.miantan.myoface
Nice,com.nice.main
PP租车,com.icarsclub.android
QQ地图导航,com.tencent.qqmap
QQ安全中心,com.tencent.token
QQ浏览器,com.tencent.mtt
QQ空间,com.qzone
QQ音乐,com.tencent.qqmusic
Uber,com.ubercab
UC浏览器,com.uc.browser
YY娱乐,com.yy.mobile
一嗨租车,com.ehai
一淘,com.taobao.etao
一起作业家长端,com.voxlearning.paterfamilias
一起作业网老师端,com.voxlearning.teacher
丁香客,cn.dxy.idxyer
三国战神,com.zwwx.sgzs.yyb
乐峰,com.lefeng.shop.client2441722
京东,com.jingdong.app.mall
京东到家,com.jingdong.pdj
人人贷,com.androidfm.renrendai.calculator
今日头条,com.ss.android.article.news
优信拍,com.uxin.buyerphone
优酷,com.youku.phone
前程无忧,com.job.android
去哪,com.Qunar
去哪儿旅行,com.Qunar
口袋乐居,com.leju.platform
口袋购物,com.geili.koudai
同程旅游,com.tongcheng.android
哔哩哔哩,tv.danmaku.bili
哔哩哔哩弹幕网Bilibili,tv.danmaku.bili
唯品会,com.achievo.vipshop
啪啪奇,com.iqiyi.share
国美在线,com.gome.eshopnew
土豆,com.tudou.android
大众点评,com.dianping.v1
大姨吗,com.yoloho.dayima
天天P图,com.tencent.ttpic
天天动听,com.sds.android.ttpod
天天果园宅急送,com.wowotuan.appfactory.tiantianguoyuanzhaijisong
天猫,com.tmall.wireless
太平洋汽车网,cn.com.pcauto.android.browser
安居客二手房,com.anjuke.android.app
安居客新房,com.anjuke.android.xinfang
富途牛牛,cn.futu.trader
幻想纪元,com.xsjme.fancy.mi
当当,com.dangdang.buy2
微信,com.tencent.mm
微店,com.easycity.manager
快乐孕期,com.babytree.apps.pregnancy
快图浏览,com.alensw.PicFolder
快的打车,com.funcity.taxi.passenger
快的打车司机版,com.funcity.taxi.driver
快的打车司机版（快的司机）,com.funcity.taxi.driver
懒人找房,com.ganji.android.garield
战神黎明,com.shediao.zslm.lenovo
房多多,com.fangdd.mobile.fddhouseagent
房多多经纪人二手房,com.fangdd.mobile.fddhouseagent
房多多经纪人（新房）,com.fangdd.mobile.agent
房牛加,com.leju.esf
手机QQ,com.tencent.qq
手机淘宝,com.taobao.taobao
折800,com.tuan800.tao800
拼立得,com.instamag.activity
掌上新东方,pocket.xdf
掌上链家-租房,com.exodus.renter
掌上链家二手房,com.homelink.android
掌上链家在线,com.homelink
搜房帮,com.soufun
搜房网,com.soufun.app
搜狐购房助手,com.sohu.focus.apartment
携程,ctrip.android.view
支付宝钱包,com.eg.android.AlipayGphone
新房帮,com.soufun.xinfangluo
新浪微博,com.sina.weibog3
时光网,com.mtime
旺信（阿里旺旺手机版）,com.alibaba.mobileim
明星衣橱,com.haobao.wardrobe
易到用车-都市出行租车必备,com.yongche.android
易到用车司机版,com.yongche
易果网,com.yiguo.app
易车网,com.yiche.autoeasy
春雨掌上医生,me.chunyu.ChunyuDoctor
智联招聘,com.zhaopin.social
暖暖环游世界,com.pape.nuannew.lj.lenovo
来往,com.alibaba.android.babylon
汽车之家,com.autohome.usedcar
汽车之家论坛,com.autohome.club
汽车报价-汽车之家出品,com.cubic.choosecar
汽车报价大全,com.yiche.price
沱沱工社,com.appfactory.apps.tootoo
淘宝,com.taobao.taobao
淘宝旅行,com.taobao.trip
滴滴打车-专车享受,com.sdu.didi.psnger
滴滴打车司机端,com.sdu.didi.gui
爱卡汽车,com.xcar.activity
爱奇艺视频_电影电视剧播放器,com.qiyi.video
爱屋吉屋,com.manyi.lovehouse
爱鲜蜂,com.bjzcht.lovebeequick
猎豹浏览器,com.ijinshan.browser_fast
猎豹清理大师,com.cleanmaster.mguard_cn
玩图,com.wantu.activity
百姓,com.quanleimu.activity
百度地图,com.baidu.BaiduMap
百度安全中心,com.baidu.passport.securitycenter
百度搜索,com.baidu.searchbox
百度魔图,cn.jingling.motu.photowonder
相机360,vStudio.Android.Camera360
相格,com.xiangge
看房,com.tencent.qqhouse
神州租车,com.szzc
秒拍,com.yixia.videoeditor
移动经纪人,com.anjuke.android.newbroker
穷游折扣,com.qyer.android.lastminute
穿衣助手,com.yourdream.app.android
糯米团购,com.nuomi
网易新闻,com.netease.newsreader.activity
美丽说,com.meilishuo
美味77,com.yummy77.webapp
美啦,com.meilapp.meila
美团,com.sankuai.meituan
美图秀秀,com.mt.mtxx.mtxx
美拍,com.meitu.meipaimv
美柚,com.lingan.seeyou
美颜相机,com.meitu.meiyancamera
聚划算,com.taobao.ju.android
聚美优品,com.jm.android.jumei
腾讯微博,com.tencent.WBlog
腾讯微视,com.tencent.weishi
腾讯视频,com.tencent.qqlive
艺龙旅行,com.dp.android.elong
苏宁,com.suning.mobile.ebuy
蘑菇街,com.mogujie
蜜芽宝贝,com.mia.miababy
融360信用卡,com.rong360.creditapply
融360卡管家,com.rong360.creditmanager
融360贷款,com.rong360.loans
豌豆荚,com.wandoujia.phoenix2
赶集叮咚,com.ganji.android.dingdong
赶集工作通,com.ganji.android.jobs
赶集懒人找房,com.ganji.android.garield
赶集房产经纪人,com.ganji.android.broker
赶集易洗车,com.ganji.android.ccar
赶集生活,com.ganji.android
足记,cc.fotoplace.app
跟谁学,com.genshuixue.studentnn
跟谁学机构版,com.genshuixue.org
辣妈帮,com.wangzhi.MaMaHelp
逗拍,com.dou_pai.DouPai
酷狗音乐,com.kugou.android
金山毒霸,com.jinshandubashiybaidu.cccjg11185.activity
金山电池医生,com.ijinshan.kbatterydoctor
闪电购,com.redcat.shandiangou
陆金所,com.lufax.android
陌陌,com.immomo.momo
顺丰优选,IDApk45.com
高德地图,com.autonavi.minimap
高朋团购,com.gaopeng
