aletai175 阿勒泰 AAT
ankang171 安康 AKA
akesu173 阿克苏 AKU
anshan178 鞍山 AOG
anqing177 安庆 AQG
anshun179 安顺 AVA
anyang181 安阳 AYN
ali97 阿里 NGQ
aershan1658 阿尔山 YIE
baise1140 百色 AEB
baotou141 包头 BAV
bijie22031 毕节 BFJ
bengbu182 蚌埠 BFU
beihai189 北海 BHY
bole2548 博乐 BPL
baoshan197 保山 BSD
beijing1 北京 BJS
bayannaoer3887 巴彦淖尔 RLK
changdu575 昌都 BPX
changde201 常德 CGD
changchun158 长春 CGQ
chaoyang211 朝阳 CHG
chifeng202 赤峰 CIF
changzhi137 长治 CIH
chongqing4 重庆 CKG
changsha206 长沙 CSX
chengdu28 成都 CTU
changzhou213 常州 CZX
chizhou218 池州 JUH
datong136 大同 DAT
daocheng1222 稻城 DCY
dandong221 丹东 DDG
diqing93 迪庆 DIG
dalian6 大连 DLC
dali36 大理市 DLU
dunhuang11 敦煌 DNH
dongying236 东营 DOY
daqing231 大庆 DQA
e'erduosi3976 鄂尔多斯 DSN
enshi245 恩施 ENH
elianhaote7626 二连浩特 ERL
fuzhou258 福州 FOC
fuyang257 阜阳 FUG
foshan251 佛山 FUO
guangzhou32 广州 CAN
guanghan750 广汉 GHN
ge'ermu132 格尔木 GOQ
guangyuan267 广元 GYS
guyuan321 固原 GYU
ganzhou268 赣州 KOW
guiyang38 贵阳 KWE
guilin33 桂林 KWL
haikou42 海口 HAK
handan275 邯郸 HDG
heihe281 黑河 HEK
huhehaote103 呼和浩特 HET
hefei278 合肥 HFE
hangzhou17 杭州 HGH
huai'an577 淮安 HIA
huaihua282 怀化 HJJ
hami285 哈密市 HMI
haerbin5 哈尔滨 HRB
hetian294 和田市 HTN
hanzhong129 汉中 HZG
huangshan23 黄山 TXN
jingdezhen305 景德镇 JDZ
jiayuguan326 嘉峪关 JGN
jinggangshan307 井冈山 JGS
jinchang1158 金昌 JIC
jilin159 吉林 JIL
jiujiang24 九江 JIU
jinjiang1803 晋江 JJN
jiamusi317 佳木斯 JMU
jining318 济宁 JNG
jinzhou327 锦州 JNZ
jixi157 鸡西 JXA
jiuzhaigou91 九寨沟 JZH
jieyang956 揭阳 SWA
jinan144 济南 TNA
kuche329 库车 KCA
kangding4130 康定 KGT
kashi109 喀什市 KHG
kaili333 凯里 KJH
kanasi3326 喀纳斯 KJI
kunming34 昆明 KMG
kuerle330 库尔勒 KRL
kelamayi166 克拉玛依 KRY
liping3852 黎平 HZH
longyan348 龙岩 LCX
lanzhou100 兰州 LHW
liangping427 梁平 LIA
lijiang37 丽江 LJG
libo1708 荔波 LLB
lvliang7631 吕梁 LLV
lincang1236 临沧 LNJ
lasa41 拉萨 LXA
luoyang350 洛阳 LYA
lianyungang353 连云港 LYG
linyi569 临沂 LYI
liuzhou354 柳州 LZH
luzhou355 泸州 LZO
linzhi108 林芝 LZY
mudanjiang150 牡丹江 MDG
mianyang370 绵阳 MIG
meizhou3053 梅州 MXZ
manzhouli1083 满洲里 NZH
nanchang376 南昌 KHN
nanchong377 南充 NAO
ningbo375 宁波 NGB
nanjing12 南京 NKG
nanning380 南宁 NNG
nanyang385 南阳 NNY
nantong82 南通 NTG
panzhihua1097 攀枝花 PZI
puer3996 普洱 SYM
qingyang404 庆阳 IQN
quzhou407 衢州 JUZ
qiqihaer149 齐齐哈尔 NDG
qinhuangdao147 秦皇岛 SHP
qingdao7 青岛 TAO
rikaze92 日喀则 RKZ
shanghai2 上海 SHA
shenyang451 沈阳 SHE
shijiazhuang428 石家庄 SJW
sanya43 三亚 SYX
suzhou14 苏州 SZV
shenzhen30 深圳 SZX
taizhou578 台州 HYN
tacheng455 塔城 TCG
tengchong1819 腾冲 TCZ
tongliao458 通辽 TGO
tianshui464 天水 THQ
tianjin3 天津 TSN
tangshan468 唐山 TVS
tongxiang580 桐乡 580
taiyuan105 太原 TYN
wulanhaote484 乌兰浩特 HLH
wulumuqi39 乌鲁木齐 URC
weifang475 潍坊 WEF
weihai479 威海 WEH
wenzhou491 温州 WNZ
wuhai1133 乌海 WUA
wuhan477 武汉 WUH
wuyishan26 武夷山 WUS
wuxi13 无锡 WUX
wuzhou492 梧州 WUZ
xingyi1139 兴义 ACX
xiahe497 夏河 GXH
xishuangbanna35 西双版纳 JHG
xiangyang496 襄阳 XFN
xichang494 西昌 XIC
xilinhaote500 锡林浩特 XIL
xian10 西安 SIA
xiamen25 厦门 XMN
xining124 西宁 XNN
xuzhou512 徐州 XUZ
yan'an110 延安 ENY
yinchuan99 银川 INC
yichun517 伊春 LDS
yongzhou970 永州 LLF
yulin527 榆林 UYN
yibin514 宜宾 YBP
yuncheng140 运城 YCU
yichun518 宜春 YIC
yichang515 宜昌 YIH
yining529 伊宁市 YIN
yiwu536 义乌 YIW
yanji523 延吉 YNJ
yantai533 烟台 YNT
yancheng1200 盐城 YNZ
yangzhou15 扬州 YTY
zhengzhou559 郑州 CGO
zhangjiajie27 张家界 DYG
zhoushan19 舟山 HSN
zhangye663 张掖 YZY
zhaotong555 昭通 ZAT
zhongshan553 中山 ZGN
zhanjiang547 湛江 ZHA
zhongwei556 中卫 ZHY
zhangjiakou550 张家口 ZQZ
zhuhai31 珠海 ZUH
zunyi558 遵义 ZYI
