beijing1 北京
shanghai2 上海
guangzhou32 广州
shenzhen30 深圳
shenyang451 沈阳
tianjin3 天津
taiyuan105 太原
xian10 西安
huhehaote103 呼和浩特
xining124 西宁
chengdu28 成都
wuhan477 武汉
nanning380 南宁
hangzhou17 杭州
qingdao7 青岛
dalian6 大连
xiamen25 厦门
baoding185 保定
changzhou213 常州
foshan251 佛山
fushun252 抚顺
guilin33 桂林
jiaxing571 嘉兴
jiujiang24 九江
kaifeng331 开封
lianyungang353 连云港
lijiang37 丽江
ma'anshan1024 马鞍山
mianyang370 绵阳
ningbo375 宁波
qinhuangdao147 秦皇岛
quanzhou406 泉州
shantou447 汕头
shiyan452 十堰
wenzhou491 温州
wuxi13 无锡
yangzhou15 扬州
yantai533 烟台
jilin159 吉林
baotou141 包头
zhuhai31 珠海
zhuzhou601 株洲
xuzhou512 徐州
hanzhong129 汉中
