,,,,,,,,,,,
,城市,酒店,原名称,平台,星级,房型,对于Qunar - 订购网站,价格,返现,website,
,北京,如家快捷北京新国展府前街店,如家快捷酒店（北京新国展府前街店）,Ctrip,2,标准双人房,,303,,http://hotels.ctrip.com/hotel/347229.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,如家快捷北京新国展府前街店,如家快捷酒店（北京新国展府前街店）,eLong,0,标准双人房,,303,,http://hotel.elong.com/beijing/10101728/,
,北京,如家快捷北京新国展府前街店,如家快捷北京新国展府前街店,Qunar,经济型,标准双人房,酒店之家,284,5,http://hotel.qunar.com/city/beijing_city/dt-20239/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%A6%82%E5%AE%B6%EF%BC%88%E5%8C%97%E4%BA%AC%E6%96%B0%E5%9B%BD%E5%B1%95%E5%BA%9C%E5%89%8D%E8%A1%97%E5%BA%97%EF%BC%89&from=hotellist&filterid=45854,
,北京,汉庭酒店北京燕莎霄云桥店(原汉庭快捷北京丽都店),汉庭酒店（北京燕莎霄云桥店）,Ctrip,2,地下室(大床),,151,,http://hotels.ctrip.com/hotel/48012.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,汉庭酒店北京燕莎霄云桥店(原汉庭快捷北京丽都店),汉庭酒店（北京燕莎霄云桥店）,eLong,0,地下室(大床),,151,,http://hotel.elong.com/beijing/00101013/,
,北京,汉庭酒店北京燕莎霄云桥店(原汉庭快捷北京丽都店),汉庭酒店北京燕莎霄云桥店(原汉庭快捷北京丽都店),Qunar,经济型,地下室双床房,酒店之家,179,5,http://hotel.qunar.com/city/beijing_city/dt-2235/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E6%B1%89%E5%BA%AD%EF%BC%88%E5%8C%97%E4%BA%AC%E7%87%95%E8%8E%8E%E9%9C%84%E4%BA%91%E6%A1%A5%E5%BA%97%EF%BC%89&from=hotellist&filterid=f3567d12-3674-4,
,北京,锦江之星北京广安门店,锦江之星（北京广安门店）,Ctrip,3,标准房C,,249,,http://hotels.ctrip.com/hotel/534361.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,锦江之星北京广安门店,锦江之星（北京广安门店）,eLong,0,标准房C,,249,,http://hotel.elong.com/beijing/00101080/,
,北京,锦江之星北京广安门店,锦江之星北京广安门店,Qunar,经济型,标准房C,锦江之星官方旗舰店,279,,http://hotel.qunar.com/city/beijing_city/dt-2708/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E9%94%A6%E6%B1%9F%E4%B9%8B%E6%98%9F%EF%BC%88%E5%8C%97%E4%BA%AC%E5%B9%BF%E5%AE%89%E9%97%A8%E5%BA%97%EF%BC%89&from=hotellist%7Csug&filterid=af102476-,
,北京,7天连锁酒店北京工业大学店（原北京大望路店）,7天连锁酒店（北京工业大学店）,Ctrip,2,商务大床房,,267,,http://hotels.ctrip.com/hotel/115347.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,7天连锁酒店北京工业大学店（原北京大望路店）,7天连锁酒店（北京工业大学店-原北京大望路店）,eLong,0,商务大床房,,267,,http://hotel.elong.com/beijing/00101217/,
,北京,7天连锁酒店北京工业大学店（原北京大望路店）,7天连锁酒店北京工业大学店（原北京大望路店）,Qunar,经济型,商务大床房,酒店之家,287,5,http://hotel.qunar.com/city/beijing_city/dt-7611/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=7%E5%A4%A9%EF%BC%88%E5%8C%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6%E5%BA%97%EF%BC%89&from=hotellist&filterid=d30b7d19-8160-4db7-b735-e45c04c6,http://hotel.qunar.com/city/beijing_city/dt-7611/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=7%E5%A4%A9%EF%BC%88%E5%8C%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6%E5%BA%97%EF%BC%89&from=hotellist&filterid=d30b7d19-8160-4db7-b735-e45c04c6
,北京,尚客优快捷酒店北京密云新中街店,尚客优快捷酒店（北京密云新中街店）,Ctrip,2,标准间(内宾),,132,,http://hotels.ctrip.com/hotel/396960.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,尚客优快捷酒店北京密云新中街店,尚客优快捷酒店（北京密云新中街店）,eLong,0,标准房,,132,16,http://hotel.elong.com/beijing/10101870/,
,北京,尚客优快捷酒店北京密云新中街店,尚客优快捷酒店北京密云新中街店,Qunar,经济型,标准房,1.住哪网,142,11,http://hotel.qunar.com/city/beijing_city/dt-19767/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%B0%9A%E5%AE%A2%E4%BC%98%E5%BF%AB%E6%8D%B7%E9%85%92%E5%BA%97%EF%BC%88%E5%8C%97%E4%BA%AC%E5%AF%86%E4%BA%91%E6%96%B0%E4%B8%AD%E8%A1%97%E5%BA%97%EF,
,北京,锦江之星北京丰台东大街地铁站店,锦江之星（北京丰台东大街地铁站店）,Ctrip,2,商务间C,,219,,http://hotels.ctrip.com/hotel/beijing1/k2%E9%94%A6%E6%B1%9F%E4%B9%8B%E6%98%9F%EF%BC%88%E5%8C%97%E4%BA%AC%E4%B8%B0%E5%8F%B0%E4%B8%9C%E5%A4%A7%E8%A1%97%E5%9C%B0%E9%93%81%E7%AB%99%E5%BA%97%EF%BC%89,
,北京,锦江之星北京丰台东大街地铁站店,锦江之星（北京丰台东大街地铁站店）,eLong,0,商务房C,,219,,http://hotel.elong.com/beijing/70101562/,
,北京,锦江之星北京丰台东大街地铁站店,锦江之星北京丰台东大街地铁站店,Qunar,经济型,商务房C,1.来订吧,239,30,http://hotel.qunar.com/city/beijing_city/dt-22891/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E9%94%A6%E6%B1%9F%E4%B9%8B%E6%98%9F%EF%BC%88%E5%8C%97%E4%BA%AC%E4%B8%B0%E5%8F%B0%E4%B8%9C%E5%A4%A7%E8%A1%97%E5%9C%B0%E9%93%81%E7%AB%99%E5%BA%97%EF,
,北京,汉庭酒店北京五棵松东店,汉庭酒店（北京五棵松东店）（原五棵松二店）,Ctrip,2,高级大床房(内宾),,294,,http://hotels.ctrip.com/hotel/beijing1/k2%E6%B1%89%E5%BA%AD%E9%85%92%E5%BA%97%EF%BC%88%E5%8C%97%E4%BA%AC%E4%BA%94%E6%A3%B5%E6%9D%BE%E4%B8%9C%E5%BA%97%EF%BC%89%EF%BC%88%E5%8E%9F%E4%BA%94%E6%A3%B5%E6%9D%BE%E4%BA%8C%E5%BA%97%EF%BC%89,
,北京,汉庭酒店北京五棵松东店,汉庭酒店（北京五棵松东店）,eLong,3,高级大床房,,294,,http://hotel.elong.com/beijing/00101837/,
,北京,汉庭酒店北京五棵松东店,汉庭酒店北京五棵松东店,Qunar,经济型,高级大床房,2.酒店之家,313,5,http://hotel.qunar.com/city/beijing_city/dt-18029/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E6%B1%89%E5%BA%AD%E9%85%92%E5%BA%97%EF%BC%88%E5%8C%97%E4%BA%AC%E4%BA%94%E6%A3%B5%E6%9D%BE%E4%B8%9C%E5%BA%97%EF%BC%89&from=hotellist%7Csug&filterid,
查无此店,北京,锦江之星北京前门店,锦江之星（北京前门店）,Ctrip,2,商务房B(无窗),,339,,N/A,
,北京,锦江之星北京前门店,锦江之星北京前门店,eLong,3,三人间,,488,76,http://hotel.elong.com/beijing/90101308/,
,北京,锦江之星北京前门店,锦江之星北京前门店,Qunar,经济型,商务房B,1.锦江官网直销,329,,http://hotel.qunar.com/city/beijing_city/dt-6920/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E9%94%A6%E6%B1%9F%E4%B9%8B%E6%98%9F%EF%BC%88%E5%8C%97%E4%BA%AC%E5%89%8D%E9%97%A8%E5%BA%97%EF%BC%89%EF%BC%89&from=hotellist&filterid=2667ccad-aa22-47e7-99c0-ad26f94e9d93_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A545E436&QHPR=1_1_0_0,
地址14/16号,北京,汉庭酒店北京牛街店,汉庭酒店（北京牛街店）,Ctrip,2,大床房(内宾),,275,,http://hotels.ctrip.com/hotel/447092.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,汉庭酒店北京牛街店,汉庭酒店（北京牛街店）,eLong,0,大床房,,275,,http://hotel.elong.com/beijing/60101425/,
,北京,汉庭酒店北京牛街店,汉庭酒店北京牛街店,Qunar,经济型,大床房,3.酒店之家,313,5,http://hotel.qunar.com/city/beijing_city/dt-22145/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E6%B1%89%E5%BA%AD%EF%BC%88%E5%8C%97%E4%BA%AC%E7%89%9B%E8%A1%97%E5%BA%97%EF%BC%89&from=hotellist&filterid=0a948bfc-8b2a-4005-bf3a-527301f0f13b_A&showMap=0&qptype=brand|poi&haspoi=1&QHFP=ZSS_A54BE3BC&QHPR=1_1_0_0,
查无此店,北京,格林豪泰北京万丰路快捷酒店,格林豪泰（北京万丰路店）（原北京颐沁园大酒店）,Ctrip,2,豪华标准间(内宾),,208,,http://hotels.ctrip.com/hotel/114654.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,格林豪泰北京万丰路快捷酒店,格林豪泰（北京万丰路店）,eLong,0,豪华标准房,,144,,http://hotel.elong.com/beijing/70101482/,
,北京,格林豪泰北京万丰路快捷酒店,格林豪泰北京万丰路快捷酒店,Qunar,经济型,豪华标准房,1.来订吧,208,35,http://hotel.qunar.com/city/beijing_city/dt-22636/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E6%A0%BC%E6%9E%97%E8%B1%AA%E6%B3%B0%EF%BC%88%E5%8C%97%E4%BA%AC%E4%B8%87%E4%B8%B0%E8%B7%AF%E5%BA%97%EF%BC%89%EF%BC%88%E5%8E%9F%E5%8C%97%E4%BA%AC%E9%A2%90%E6%B2%81%E5%9B%AD%E5%A4%A7%E9%85%92%E5%BA%97%EF%BC%89&from=hotellist%7Csug&filterid=c981a1ef-c3b2-4f02-8ed1-e4d7fd8672c4_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A54D9A1C&QHPR=1_1_0_0,
,北京,如家快捷北京上地三街店,如家快捷酒店（北京上地三街店）,Ctrip,2,商务大床房(内宾),,246,,http://hotels.ctrip.com/hotel/607734.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,如家快捷北京上地三街店,如家快捷酒店（北京上地三街店）,eLong,0,商务大床房 (还剩1间),,246,,http://hotel.elong.com/beijing/00301093/,
,北京,如家快捷北京上地三街店,如家快捷北京上地三街店,Qunar,经济型,商务大床房,1.酒店之家,256,5,http://hotel.qunar.com/city/beijing_city/dt-22665/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%A6%82%E5%AE%B6%EF%BC%88%E5%8C%97%E4%BA%AC%E4%B8%8A%E5%9C%B0%E4%B8%89%E8%A1%97%E5%BA%97%EF%BC%89&from=hotellist&filterid=a1ac9f66-c319-4a60-8ab4-025be5778985_C&showMap=0&qptype=brand|poi&haspoi=1&QHFP=ZSS_A565A3B5&QHPR=1_1_0_0,
,北京,锦江之星北京古城北路店,锦江之星（北京古城北路店）,Ctrip,2,商务房C,,229,,http://hotels.ctrip.com/hotel/514258.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,锦江之星北京古城北路店,锦江之星（北京古城北路店）,eLong,0,商务房C,,229,,http://hotel.elong.com/beijing/70101952/,
,北京,锦江之星北京古城北路店,锦江之星北京古城北路店,Qunar,经济型,商务房C,2.同程网,239,,http://hotel.qunar.com/city/beijing_city/dt-22892/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E9%94%A6%E6%B1%9F%E4%B9%8B%E6%98%9F%EF%BC%88%E5%8C%97%E4%BA%AC%E5%8F%A4%E5%9F%8E%E5%8C%97%E8%B7%AF%E5%BA%97%EF%BC%89&from=hotellist%7Csug&filterid=695d12b8-f70f-4b21-b05a-e7b656486e47_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A57A5371&QHPR=1_1_0_0,
,北京,如家快捷北京亦庄永昌南路店,如家快捷酒店（北京亦庄永昌南路店）,Ctrip,2,特惠商务房,,237,,http://hotels.ctrip.com/hotel/114332.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,如家快捷北京亦庄永昌南路店,如家快捷酒店（北京亦庄永昌南路店）,eLong,0,特惠商务房,,237,,http://hotel.elong.com/beijing/00101732/,
,北京,如家快捷北京亦庄永昌南路店,如家快捷北京亦庄永昌南路店,Qunar,经济型,特惠商务房,1.住哪网,246,,http://hotel.qunar.com/city/beijing_city/dt-17695/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%A6%82%E5%AE%B6%EF%BC%88%E5%8C%97%E4%BA%AC%E4%BA%A6%E5%BA%84%E6%B0%B8%E6%98%8C%E5%8D%97%E8%B7%AF%E5%BA%97%EF%BC%89&from=hotellist&filterid=80c3892e-e90c-4c6e-8896-a92e821394dd_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A57D3367&QHPR=1_1_0_0,
,北京,北京知春旅馆,北京知春旅馆,Ctrip,-1,双人间(内宾),,118,,http://hotels.ctrip.com/hotel/116331.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京知春旅馆,北京知春旅馆,eLong,0,双人间（地下，有窗）,,118,21,http://hotel.elong.com/beijing/00101370/,
,北京,北京知春旅馆,北京知春旅馆,Qunar,2,地下双人间,来订吧,118,15,http://bnb.qunar.com/city/beijing_city/dt-11361/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E7%9F%A5%E6%98%A5%E6%97%85%E9%A6%86&from=hotellist%7Csug&filterid=4d4e1aa3-a744-4015-b131-6499920d0f87_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5235916&QHPR=1_1_0_0,
,北京,北京第五季商旅酒店交大分店,第五季商旅酒店（北京交通大学店）,Ctrip,2,经济大床房,,199,,http://hotels.ctrip.com/hotel/534180.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京第五季商旅酒店交大分店,第五季商旅酒店（北京交大分店）,eLong,0,经济大床房,,199,21,http://hotel.elong.com/beijing/80101277/,
,北京,北京第五季商旅酒店交大分店,北京第五季商旅酒店交大分店,Qunar,2,经济大床房,酒店之家,199,44,http://hotel.qunar.com/city/beijing_city/dt-22842/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E7%AC%AC%E4%BA%94%E5%AD%A3%E5%95%86%E6%97%85%E9%85%92%E5%BA%97%EF%BC%88%E5%8C%97%E4%BA%AC%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6%E5%BA%97%EF%BC%89&from=hotellist%7Csug&filterid=ff8c14c7-bfd5-4ba9-b361-60df354eeaea_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5254DD3&QHPR=1_1_0_0,
,北京,北京龙福宫宾馆平乐园店,龙福宫宾馆（北京平乐园店）,Ctrip,2,标准大床间(内宾),,180,,http://hotels.ctrip.com/hotel/128709.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
